({6}, 6)
         7009750 function calls (6966678 primitive calls) in 4.515 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.007    0.007 npyio.py:1(<module>)
      115    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:969(get_data)
      626    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      626    0.006    0.000    0.006    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.006    0.006 secrets.py:1(<module>)
      133    0.000    0.000    0.006    0.000 re.py:289(_compile)
  232/231    0.003    0.000    0.005    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.005    0.005 _datasource.py:1(<module>)
       21    0.000    0.000    0.005    0.000 sre_compile.py:759(compile)
       17    0.000    0.000    0.005    0.000 re.py:250(compile)
        1    0.000    0.000    0.005    0.005 pathlib.py:1(<module>)
    24031    0.005    0.000    0.005    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.005    0.005 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.005    0.005 shutil.py:1(<module>)
    30939    0.004    0.000    0.004    0.000 fromnumeric.py:1110(_argmax_dispatcher)
        1    0.000    0.000    0.004    0.004 defmatrix.py:1(<module>)
      286    0.001    0.000    0.004    0.000 overrides.py:72(verify_matching_signatures)
      115    0.004    0.000    0.004    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.004    0.004 defchararray.py:1(<module>)
        1    0.000    0.000    0.004    0.004 linalg.py:1(<module>)
        1    0.000    0.000    0.003    0.003 pimc.py:25(sample_hands_uniformly)
    10100    0.003    0.000    0.003    0.000 nodes.py:8(__init__)
      200    0.000    0.000    0.003    0.000 pimc.py:15(random_combination)
        1    0.000    0.000    0.003    0.003 pickle.py:1(<module>)
      148    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
        2    0.000    0.000    0.003    0.002 function_base.py:1(<module>)
        1    0.000    0.000    0.003    0.003 platform.py:3(<module>)
       21    0.000    0.000    0.003    0.000 sre_parse.py:937(parse)
      616    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
     1446    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
    59/21    0.000    0.000    0.003    0.000 sre_parse.py:435(_parse_sub)
        1    0.000    0.000    0.003    0.003 hmac.py:1(<module>)
    62/23    0.001    0.000    0.003    0.000 sre_parse.py:493(_parse)
    10000    0.003    0.000    0.003    0.000 {method 'pop' of 'list' objects}
      200    0.001    0.000    0.003    0.000 random.py:315(sample)
        2    0.000    0.000    0.003    0.001 polynomial.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.002    0.002 financial.py:1(<module>)
      338    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
      274    0.000    0.000    0.002    0.000 function_base.py:451(add_newdoc)
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
        1    0.000    0.000    0.002    0.002 numerictypes.py:1(<module>)
      207    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      191    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       21    0.000    0.000    0.002    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.002    0.002 pimc.py:29(<listcomp>)
      326    0.001    0.000    0.002    0.000 functools.py:34(update_wrapper)
        1    0.000    0.000    0.002    0.002 bz2.py:1(<module>)
      230    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
        1    0.000    0.000    0.002    0.002 core.py:1(<module>)
        1    0.000    0.000    0.002    0.002 datetime.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _pocketfft.py:1(<module>)
       23    0.000    0.000    0.002    0.000 overrides.py:206(decorator)
      612    0.001    0.000    0.002    0.000 _inspect.py:65(getargs)
      261    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:376(cached)
   129/21    0.001    0.000    0.002    0.000 sre_compile.py:71(_compile)
      115    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
      299    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      158    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.001    0.001 nanfunctions.py:1(<module>)
     1446    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
     6294    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
      146    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
       52    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
     7108    0.001    0.000    0.001    0.000 {method 'index' of 'list' objects}
      457    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.001    0.001 pimc.py:22(sample_combinations)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pimc.py:23(<listcomp>)
        1    0.000    0.000    0.001    0.001 decimal.py:2(<module>)
        1    0.000    0.000    0.001    0.001 type_check.py:1(<module>)
      115    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
        1    0.000    0.000    0.001    0.001 ntpath.py:2(<module>)
        8    0.000    0.000    0.001    0.000 __init__.py:313(namedtuple)
        1    0.000    0.000    0.001    0.001 getlimits.py:94(_register_known_types)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
        1    0.000    0.000    0.001    0.001 domino.py:1(<module>)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:257(_mac_os_check)
      457    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      587    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.001    0.001 arraysetops.py:1(<module>)
     1200    0.001    0.000    0.001    0.000 random.py:250(_randbelow_with_getrandbits)
        6    0.000    0.000    0.001    0.000 getlimits.py:35(__init__)
      146    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
       16    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.001    0.001 hashlib.py:5(<module>)
      457    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
       14    0.000    0.000    0.001    0.000 hashlib.py:123(__get_openssl_constructor)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
       27    0.000    0.000    0.001    0.000 abc.py:84(__new__)
        1    0.000    0.000    0.001    0.001 _polybase.py:1(<module>)
        8    0.000    0.000    0.001    0.000 hashlib.py:79(__get_builtin_constructor)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:1(<module>)
      623    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x105bd79d0}
        1    0.000    0.000    0.001    0.001 _methods.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _polybase.py:17(ABCPolyBase)
       71    0.001    0.000    0.001    0.000 abc.py:7(abstractmethod)
        1    0.000    0.000    0.001    0.001 domino_state.py:1(<module>)
        1    0.000    0.000    0.001    0.001 <__array_function__ internals>:2(polyfit)
        1    0.000    0.000    0.001    0.001 polynomial.py:429(polyfit)
     1809    0.000    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.001    0.001 struct.py:3(<module>)
       54    0.000    0.000    0.001    0.000 sre_compile.py:276(_optimize_charset)
      402    0.000    0.000    0.001    0.000 abc.py:96(__instancecheck__)
      146    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
        1    0.000    0.000    0.001    0.001 base64.py:3(<module>)
      158    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
     1581    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
      115    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
     3124    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       44    0.000    0.000    0.000    0.000 core.py:138(get_object_signature)
      963    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
      402    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
        3    0.000    0.000    0.000    0.000 warnings.py:130(filterwarnings)
     1497    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       30    0.000    0.000    0.000    0.000 getlimits.py:41(<lambda>)
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
       26    0.000    0.000    0.000    0.000 core.py:6750(__init__)
       26    0.000    0.000    0.000    0.000 core.py:6755(getdoc)
       21    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
      274    0.000    0.000    0.000    0.000 function_base.py:437(_add_docstring)
      107    0.000    0.000    0.000    0.000 re.py:188(match)
     1243    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      545    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
      572    0.000    0.000    0.000    0.000 <string>:1(__new__)
      345    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 extras.py:1(<module>)
     1715    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
   160/52    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
      616    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      115    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
       52    0.000    0.000    0.000    0.000 core.py:895(__init__)
      157    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      230    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
      157    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1473(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        4    0.000    0.000    0.000    0.000 core.py:115(doc_note)
      461    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
      100    0.000    0.000    0.000    0.000 pimc.py:42(<listcomp>)
       15    0.000    0.000    0.000    0.000 arrayprint.py:461(wrapper)
      677    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
        5    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
      347    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
        1    0.000    0.000    0.000    0.000 ast.py:1(<module>)
  242/215    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
       16    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
       40    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
      100    0.000    0.000    0.000    0.000 pimc.py:40(<listcomp>)
        4    0.000    0.000    0.000    0.000 re.py:223(split)
        1    0.000    0.000    0.000    0.000 helper.py:1(<module>)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1466(_guarded_repr_or_str)
      616    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:40(<lambda>)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6709(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
      612    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
  242/215    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      461    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
        5    0.000    0.000    0.000    0.000 re.py:203(sub)
     1075    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(linspace)
        1    0.000    0.000    0.000    0.000 function_base.py:23(linspace)
      274    0.000    0.000    0.000    0.000 function_base.py:419(_needs_add_docstring)
        1    0.000    0.000    0.000    0.000 numbers.py:4(<module>)
      200    0.000    0.000    0.000    0.000 pimc.py:20(<setcomp>)
      324    0.000    0.000    0.000    0.000 functools.py:64(wraps)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(lstsq)
        1    0.000    0.000    0.000    0.000 linalg.py:2170(lstsq)
     1075    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      351    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       27    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       31    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
     1785    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
       50    0.000    0.000    0.000    0.000 _internal.py:781(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:357(_get_scalar_type_map)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:368(<dictcomp>)
      100    0.000    0.000    0.000    0.000 pimc.py:41(<listcomp>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:114(_add_aliases)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
       26    0.000    0.000    0.000    0.000 core.py:922(__init__)
      930    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        6    0.000    0.000    0.000    0.000 numeric.py:2446(extend_all)
       18    0.000    0.000    0.000    0.000 core.py:998(__init__)
      115    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
       36    0.000    0.000    0.000    0.000 getlimits.py:39(<lambda>)
      178    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      288    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
      153    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
      299    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      317    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      155    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
        1    0.000    0.000    0.000    0.000 pimc.py:30(<listcomp>)
      312    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(any)
